(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  EventManager::HandleAceMessage
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  EventManager::subscribe HistoryEventHandler for events
(6604)[2018-08-24 10:18:38.068777] [LM_DEBUG]  GmsService: sending message to HistoryEventHandler
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GmsService: sending message - found destination service
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  EventManager::HandleAceMessage
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  EventManager::subscribe WMIEventHandler for events
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GmsService: sending message to WMIEventHandler
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GmsService: sending message - found destination service
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  EventManager::HandleAceMessage
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  EventManager::subscribe WinLogEventHandler for events
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GmsService: sending message to WinLogEventHandler
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GmsService: sending message - found destination service
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GMSC: <-- handle_output
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GMSC: --> handle_output
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  EventManager
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GMSC: <-- handle_output
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GMSC: --> handle_output
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  EventManager
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GMSC: <-- handle_output
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GMSC: --> handle_output
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  EventManager
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GMSC: <-- handle_output
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GMSC: --> handle_output
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  COMEventHandler
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  EventHandler::HandleAceMessage
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  COMEventHandler MB_SUBSCRIBE_EVENT
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GMSC: --> startSubService
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GmsService: sending message to Configurator
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GmsService: sending message - found destination service
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  COMEventHandler, 0x7E3528
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GMSC: <-- startSubService
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GMSC: <-- handle_output
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GMSC: --> handle_output
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  HistoryEventHandler
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  EventHandler::HandleAceMessage
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  HistoryEventHandler MB_SUBSCRIBE_EVENT
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GMSC: --> startSubService
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GmsService: sending message to Configurator
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GmsService: sending message - found destination service
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  HistoryEventHandler, 0x7F6930
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GMSC: <-- startSubService
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GMSC: <-- handle_output
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  GMSC: --> handle_output
(6604)[2018-08-24 10:18:38.070828] [LM_DEBUG]  WMIEventHandler
(6604)[2018-08-24 10:18:38.071824] [LM_DEBUG]  EventHandler::HandleAceMessage
(6604)[2018-08-24 10:18:38.071824] [LM_DEBUG]  WMIEventHandler MB_SUBSCRIBE_EVENT
(6604)[2018-08-24 10:18:38.071824] [LM_DEBUG]  GMSC: --> startSubService
(6604)[2018-08-24 10:18:38.071824] [LM_DEBUG]  GmsService: sending message to Configurator
(6604)[2018-08-24 10:18:38.071824] [LM_DEBUG]  GmsService: sending message - found destination service
(6604)[2018-08-24 10:18:38.071824] [LM_DEBUG]  WMIEventHandler, 0x7E3A78
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  GMSC: <-- startSubService
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  GMSC: <-- handle_output
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  GMSC: --> handle_output
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  WinLogEventHandler
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  EventHandler::HandleAceMessage
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  WinLogEventHandler MB_SUBSCRIBE_EVENT
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  GMSC: --> startSubService
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  GmsService: sending message to Configurator
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  GmsService: sending message - found destination service
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  WinLogEventHandler, 0x7E2EC8
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  GMSC: <-- startSubService
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  GMSC: <-- handle_output
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  GMSC: --> handle_output
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  Configurator
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  CONF: --> HandleAceMessage
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  SERVICE_STATUS_CHANGED
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  CONF: --> ChangeServiceState
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  AsyncActivationManager: refreshing on operation, waiting 2
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  CONF: <-- ChangeServiceState Status: 1
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  CONF: <-- HandleAceMessage
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  CONF: --> HandleAceMessage
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  SERVICE_STATUS_CHANGED
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  CONF: --> ChangeServiceState
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  AsyncActivationManager: refreshing on operation, waiting 2
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  CONF: <-- ChangeServiceState Status: 1
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  CONF: <-- HandleAceMessage
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  CONF: --> HandleAceMessage
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  SERVICE_STATUS_CHANGED
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  CONF: --> ChangeServiceState
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  AsyncActivationManager: refreshing on operation, waiting 2
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  CONF: <-- ChangeServiceState Status: 1
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  CONF: <-- HandleAceMessage
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  CONF: --> HandleAceMessage
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  SERVICE_STATUS_CHANGED
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  CONF: --> ChangeServiceState
(6604)[2018-08-24 10:18:38.072154] [LM_DEBUG]  AsyncActivationManager: refreshing on operation, waiting 2
(6604)[2018-08-24 10:18:38.073150] [LM_DEBUG]  CONF: --> StartAceService
(6604)[2018-08-24 10:18:38.073150] [LM_DEBUG]  Checking signature for configuration file StatusEventHandler.dll
(6604)[2018-08-24 10:18:38.073150] [LM_DEBUG]  Verifying signature
(6604)[2018-08-24 10:18:38.114224] [LM_DEBUG]  VerifyFileSignature: The file is signed and the signature was verified.
(6604)[2018-08-24 10:18:38.114224] [LM_DEBUG]  Verifying certificate name
(6604)[2018-08-24 10:18:38.119829] [LM_DEBUG]  VerifyCertificateName: File is signed by Intel
(6604)[2018-08-24 10:18:38.119829] [LM_DEBUG]  Checking version for configuration file StatusEventHandler.dll
(6604)[2018-08-24 10:18:38.119829] [LM_DEBUG]  GetAppVersion: Got version: 11.7.0.1054
(6604)[2018-08-24 10:18:38.119829] [LM_DEBUG]  CompareVersions: C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\StatusEventHandler.dll version is equal or newer than LMS.
(6604)[2018-08-24 10:18:38.119829] [LM_DEBUG]  Version is valid
(6604)[2018-08-24 10:18:38.119829] [LM_DEBUG]  GMSC: --> initSubService
(6604)[2018-08-24 10:18:38.120827] [LM_DEBUG]  StatusEventHandler
(6604)[2018-08-24 10:18:38.120827] [LM_DEBUG]  GMSC: <-- initSubService
(6604)[2018-08-24 10:18:38.121042] [LM_DEBUG]  GmsService: sending message to EventManager
(6604)[2018-08-24 10:18:38.121042] [LM_DEBUG]  GmsService: sending message - found destination service
(6604)[2018-08-24 10:18:38.121042] [LM_DEBUG]  CONF: <-- StartAceService
(6604)[2018-08-24 10:18:38.121042] [LM_DEBUG]  CONF: <-- ChangeServiceState Status: 1
(6604)[2018-08-24 10:18:38.121042] [LM_DEBUG]  CONF: <-- HandleAceMessage
(6604)[2018-08-24 10:18:38.121042] [LM_DEBUG]  GMSC: <-- handle_output
